No	City	Population
1	France	68,042,000
2	Paris	2,102,000
3	Marseille	870,000
4	Lyon	522,000
5	Lille	236,000
6	Germany	83,155,000
7	Berlin	3,755,000
8	Hamburg	1,892,000
9	Munich	1,558,000
10	Cologne	1,084,000
11	Frankfurt	773,000
12	Russia	144,104,000
13	Moscow	13,010,000
14	Saint Petersburg	5,598,000
15	Turkey	84,339,000
16	Istanbul	15,848,000
17	Ukraine	41,167,000
18	Kyiv	2,950,000
19	Italy	59,240,000
20	Rome	2,873,000
21	Milan	1,371,000
22	Naples	921,000
23	Turin	848,000
24	Spain	47,351,000
25	Madrid	3,332,000
26	Barcelona	1,660,000
27	Seville	684,000
28	Poland	37,967,000
29	Warsaw	1,861,000
30	Krakow	803,000
31	Wroclaw	643,000
32	Gdansk	486,000
33	Romania	19,286,000
34	Bucharest	1,716,000
35	Constanta	263,000
36	Netherlands	17,400,000
37	Amsterdam	921,000
38	Rotterdam	655,000
39	Belgium	11,522,000
40	Brussels	188,000
41	Antwerp	536,000
42	Greece	10,718,000
43	Athens	643,000
44	Thessaloniki	325,000
45	Czech Republic	10,701,000
46	Prague	1,357,000
47	Portugal	10,295,000
48	Lisbon	548,000
49	Porto	237,000
50	Sweden	10,402,000
51	Stockholm	984,000
52	Gothenburg	604,000
53	Malmö	351,000
54	Hungary	9,771,000
55	Budapest	1,689,000
56	Debrecen	200,000
57	Belarus	9,408,000
58	Minsk	2,009,000
59	Austria	8,902,000
60	Vienna	1,973,000
61	Serbia	8,772,000
62	Belgrade	1,197,000
63	Switzerland	8,637,000
64	Zurich	435,000
65	Geneva	203,000
66	Bulgaria	6,951,000
67	Sofia	1,258,000
68	Varna	367,000
69	Denmark	5,818,000
70	Copenhagen	1,363,000
71	Finland	5,521,000
72	Helsinki	658,000
73	Slovakia	5,450,000
74	Bratislava	440,000
75	Norway	5,379,000
76	Oslo	702,000
77	Bergen	286,000
78	Ireland	4,994,000
79	Dublin	592,000
80	Croatia	4,058,000
81	Zagreb	806,000
82	Split	178,000
83	Moldova	3,546,000
84	Chisinau	639,000
85	Bosnia and Herzegovina	3,301,000
86	Sarajevo	275,000
87	Albania	2,838,000
88	Tirana	418,000
89	Lithuania	2,801,000
90	Vilnius	593,000
91	Slovenia	2,108,000
92	Ljubljana	295,000
93	Latvia	1,907,000
94	Riga	614,000
95	North Macedonia	2,083,000
96	Skopje	526,000
97	Estonia	1,327,000
98	Tallinn	438,000
99	Cyprus	1,198,000
100	Nicosia	350,000
101	Kosovo	1,806,000
102	Pristina	210,000
103	Montenegro	622,000
104	Podgorica	187,000
105	Luxembourg	625,000
106	Luxembourg	132,000
107	Malta	514,000
108	Valletta	6,000
109	Iceland	356,000
110	Reykjavik	140,000
111	Andorra	77,000
112	Andorra la Vella	23,000
113	Monaco	39,000
114	Monaco	38,000
115	San Marino	34,000
116	San Marino	4,000
117	Vatican City	800
118	Vatican City	800
