No	City	Population
1	London	7,200,000
2	Birmingham	992,000
3	Leeds	720,000
4	Glasgow	616,000
5	Sheffield	530,000
6	Bradford	483,000
7	Liverpool	468,000
8	Edinburgh	449,000
9	Manchester	431,000
10	Bristol	400,000
11	Cardiff	350,000
12	Coventry	345,000
13	Leicester	329,000
14	Nottingham	321,000
15	Belfast	280,000
16	Newcastle	280,000
17	Hull	260,000
18	Stoke	258,000
19	Southampton	253,000
20	Derby	248,000
21	Portsmouth	238,000
22	Brighton	229,000
23	Plymouth	229,000
24	Wolverhampton	229,000
25	Reading	218,000
26	Northampton	215,000
27	Luton	214,000
28	Bolton	194,000
29	Aberdeen	189,000
30	Bournemouth	187,000
31	Norwich	186,000
32	Swindon	185,000
33	Milton Keynes	184,000
34	Southend	175,000
35	Middlesbrough	174,000
36	Peterborough	163,000
37	Warrington	162,000
38	Huddersfield	162,000
39	Oxford	159,000
40	Ipswich	144,000
41	York	144,000
42	Dundee	143,000
43	Blackpool	139,000
44	Gloucester	136,000
45	Slough	131,000
46	Telford	129,000
47	Cambridge	129,000
48	Exeter	127,000
49	Cheltenham	116,000
50	Basildon	115,000
51	Colchester	114,000
52	Worthing	110,000
53	Crawley	107,000
54	Bath	107,000
55	Blackburn	106,000
56	Preston	105,000
57	Chelmsford	103,000
58	Rochdale	103,000
59	Gillingham	101,000
60	Rotherham	100,000
61	Worcester	100,000
62	Watford	96,000
63	Lincoln	94,000
64	Eastbourne	92,000
65	Hastings	91,000
66	Stockport	90,000
67	Bedford	87,000
68	Darlington	86,000
69	Lancaster	84,000
70	Canterbury	83,000
71	Carlisle	75,000
72	Chester	77,000
73	Durham	48,000
74	Inverness	47,000
75	Stirling	36,000
76	Perth	47,000
77	Dundee	143,000
78	Swansea	239,000
79	Newport	145,000
80	Bangor	18,000
81	St Asaph	3,000
82	St Davids	2,000
83	Lisburn	71,000
84	Newry	27,000
85	Armagh	15,000
86	Derry	83,000
87	Salford	218,000
88	Sunderland	174,000
89	Gateshead	120,000
90	Oldham	96,000
91	Bradford	483,000
92	Wakefield	99,000
93	Wigan	81,000
94	Barnsley	91,000
95	Doncaster	109,000
96	St Helens	102,000
97	Birkenhead	142,000
98	Stockport	90,000
99	Maidstone	107,000
