No	City	Population
1	Toronto	4,263,000
2	Montreal	3,327,000
3	Vancouver	1,832,000
4	Ottawa	1,010,000
5	Edmonton	980,000
6	Calgary	822,000
7	Quebec	672,000
8	Winnipeg	667,000
9	Hamilton	624,000
10	London	399,000
11	Kitchener	380,000
12	Victoria	289,000
13	Halifax	270,000
14	Oshawa	247,000
15	Windsor	217,000
16	Saskatoon	202,000
17	Regina	176,000
18	StJohns	172,000
19	Barrie	136,000
20	Kelowna	132,000
21	Sherbrooke	129,000
22	Abbotsford	123,000
23	Guelph	121,000
24	Kingston	117,000
25	Trois-Rivieres	104,000
26	Moncton	85,000
27	SaintJohn	67,000
28	Nanaimo	79,000
29	Kamloops	74,000
30	Fredericton	52,000
