No	City	State	Population
1	NewYork	NY	8,258,035
2	NewYorkCity	NY	8,258,035
3	LosAngeles	CA	3,820,914
4	Chicago	IL	2,664,452
5	Houston	TX	2,314,157
6	Phoenix	AZ	1,650,070
7	Philadelphia	PA	1,550,542
8	SanAntonio	TX	1,436,697
9	SanDiego	CA	1,381,611
10	Dallas	TX	1,281,047
11	SanJose	CA	1,013,240
12	Austin	TX	964,254
13	Jacksonville	FL	911,507
14	SanFrancisco	CA	883,305
15	Columbus	OH	878,553
16	Indianapolis	IN	876,384
17	FortWorth	TX	874,168
18	Charlotte	NC	872,498
19	Seattle	WA	737,015
20	Denver	CO	716,492
21	ElPaso	TX	678,815
22	Detroit	MI	672,662
23	Washington	DC	681,170
24	Boston	MA	675,647
25	Memphis	TN	653,450
26	Nashville	TN	670,820
27	Portland	OR	652,503
28	OklahomaCity	OK	649,021
29	LasVegas	NV	641,903
30	Baltimore	MD	602,495
31	Louisville	KY	597,337
32	Milwaukee	WI	594,833
33	Albuquerque	NM	560,513
34	Tucson	AZ	542,629
35	Fresno	CA	530,093
36	Sacramento	CA	508,529
37	Mesa	AZ	504,258
38	KansasCity	MO	491,918
39	Atlanta	GA	486,290
40	LongBeach	CA	467,354
41	Colorado Springs	CO	464,871
42	Raleigh	NC	464,758
43	Miami	FL	463,347
44	VirginiaBeach	VA	450,435
45	Omaha	NE	446,599
46	Oakland	CA	425,195
47	Minneapolis	MN	425,403
48	Tulsa	OK	401,190
49	Arlington	TX	398,121
50	NewOrleans	LA	389,617
51	Wichita	KS	389,965
52	Cleveland	OH	381,009
53	Tampa	FL	392,890
54	Bakersfield	CA	380,874
55	Aurora	CO	374,114
56	Anaheim	CA	352,497
57	Honolulu	HI	347,397
58	SantaAna	CA	334,217
59	Riverside	CA	327,728
60	CorpusChristi	TX	326,554
61	Lexington	KY	321,793
62	Stockton	CA	310,496
63	Henderson	NV	310,390
64	SaintPaul	MN	308,096
65	StLouis	MO	308,626
66	Cincinnati	OH	303,940
67	Pittsburgh	PA	302,407
68	Greensboro	NC	294,722
69	Anchorage	AK	291,538
70	Plano	TX	288,061
71	Lincoln	NE	284,736
72	Orlando	FL	285,713
73	Irvine	CA	282,572
74	Newark	NJ	282,011
75	Toledo	OH	276,491
76	Durham	NC	274,291
77	Chula Vista	CA	270,471
78	FortWayne	IN	267,633
79	Jersey City	NJ	264,290
80	StPetersburg	FL	263,255
81	Laredo	TX	257,156
82	Madison	WI	255,214
83	Chandler	AZ	254,276
84	Buffalo	NY	256,480
85	Lubbock	TX	252,506
86	Scottsdale	AZ	246,645
87	Reno	NV	248,853
88	Glendale	AZ	245,895
89	GilbertTown	AZ	242,354
90	Winston-Salem	NC	242,193
91	NorthLasVegas	NV	238,797
92	Norfolk	VA	245,782
93	Chesapeake	VA	244,835
94	Garland	TX	238,622
95	Irving	TX	238,289
96	Hialeah	FL	237,069
97	Fremont	CA	230,504
98	Boise	ID	228,959
99	Richmond	VA	228,783
100	BatonRouge	LA	227,470
101	SpokaneTown	WA	222,081
102	DesMoines	IA	216,853
103	Tacoma	WA	216,279
104	SanBernardino	CA	216,239
105	Modesto	CA	212,880
106	Fontana	CA	207,460
107	SantaClarita	CA	212,519
108	Birmingham	AL	210,710
109	Oxnard	CA	207,906
110	Fayetteville	NC	204,408
111	Moreno Valley	CA	208,634
112	Akron	OH	197,542
113	Aurora	IL	200,965
114	Yonkers	NY	200,040
115	Columbus	GA	194,058
116	Montgomery	AL	198,218
117	LittleRock	AR	197,312
118	Amarillo	TX	199,371
119	Mobile	AL	194,899
120	GrandRapids	MI	198,829
121	Huntsville	AL	194,585
122	SaltLakeCity	UT	200,567
123	Tallahassee	FL	194,500
124	Worcester	MA	185,428
125	GrandPrairie	TX	194,543
126	Brownsville	TX	183,887
127	Overland Park	KS	191,278
128	SantaRosa	CA	178,127
129	Chattanooga	TN	182,799
130	Providence	RI	179,207
131	Knoxville	TN	187,347
132	Oceanside	CA	176,698
133	GardenGrove	CA	175,140
134	Vancouver	WA	178,284
135	FortLauderdale	FL	182,760
136	RanchoCucamonga	CA	177,603
137	Ontario	CA	175,265
138	SpringfieldTown	MO	167,882
139	Pembroke Pines	FL	172,374
140	Salem	OR	169,798
141	Eugene	OR	168,916
142	PortStLucie	FL	179,413
143	CoralSprings	FL	133,507
144	Peoria	AZ	172,109
145	Lansing	MI	118,210
146	Cary	NC	170,282
147	CapeCoral	FL	189,343
148	Corona	CA	167,158
149	Elk Grove	CA	173,702
150	Springfield	MA	153,703
151	Pembroke Pines	FL	172,374
152	SiouxFalls	SD	183,793
153	Hayward	CA	159,620
154	Lancaster	CA	173,516
155	Lakewood	CO	155,733
156	Palmdale	CA	169,450
157	Salinas	CA	157,380
158	Hollywood	FL	153,067
159	Sunnyvale	CA	152,703
160	Macon	GA	153,159
161	Pasadena	TX	154,726
162	KansasCity	KS	152,938
163	Pomona	CA	151,124
164	Escondido	CA	151,038
165	Killeen	TX	148,573
166	Torrance	CA	147,067
167	Joliet	IL	147,433
168	Bridgeport	CT	147,629
169	Rockford	IL	147,051
170	Paterson	NJ	145,948
171	Naperville	IL	147,682
172	Syracuse	NY	143,378
173	Savannah	GA	146,444
174	Pasadena	CA	141,029
175	Jackson	MS	153,701
176	Mesquite	TX	144,788
177	Hampton	VA	135,410
178	Lakewood	NJ	135,158
179	Clarksville	TN	153,205
180	Dayton	OH	140,407
181	OrangeCounty	CA	3,175,692
182	LosAngelesCounty	CA	10,040,682
183	Miami	FL	463,347
184	Tampa	FL	392,890
185	Sarasota	FL	54,842
186	Clearwater	FL	115,975
187	Reno	NV	248,853
188	Sparks	NV	105,006
189	CarsonCity	NV	55,916
190	Charleston	SC	136,208
191	Columbia	SC	133,451
192	Greenville	SC	70,635
193	Myrtle Beach	SC	34,695
194	Asheville	NC	92,870
195	Wilmington	NC	122,607
196	Greensboro	NC	294,722
197	WinstonSalem	NC	242,193
198	Augusta	GA	197,888
199	Savannah	GA	146,444
200	Athens	GA	127,315
201	Macon	GA	153,159
202	Jacksonville	FL	911,507
203	Orlando	FL	285,713
204	StPetersburg	FL	263,255
205	Hialeah	FL	237,069
206	PortStLucie	FL	179,413
207	Pembroke Pines	FL	172,374
208	Hollywood	FL	153,067
209	Miramar	FL	140,823
210	CoralSprings	FL	133,507
211	ClearwaterBeach	FL	115,975
212	GainsFlorida	FL	133,997
213	PalmBay	FL	119,760
214	WestPalmBeach	FL	111,955
215	Lakeland	FL	108,787
216	Davie	FL	105,549
217	Plantation	FL	94,366
218	BoyntonBeach	FL	78,060
219	MiamiGardens	FL	113,187
220	Pompano Beach	FL	111,954
221	Sunrise	FL	94,657
222	LauderhillTown	FL	72,299
223	Deerfield Beach	FL	80,822
224	Boca Raton	FL	98,776
225	Delray Beach	FL	68,649
226	Homestead	FL	69,728
227	Tamarac	FL	66,432
228	NorthMiami	FL	62,468
229	WellingtonVillage	FL	65,449
230	Kissimmee	FL	72,410
231	NorthPort	FL	70,755
232	FortMyersTown	FL	82,254
233	Ocala	FL	60,021
234	ApopkaCity	FL	53,801
235	Sanford	FL	60,337
236	DeLand	FL	33,620
237	Ocoee	FL	47,433
238	PalmCoast	FL	89,800
239	Dunedin	FL	36,068
240	Largo	FL	84,754
241	Pinellas Park	FL	53,486
242	Melbourne	FL	82,281
243	Titusville	FL	46,307
244	Deltona	FL	91,847
245	Daytona Beach	FL	68,711
246	Pensacola	FL	52,713
247	Tallahassee	FL	194,500
248	Jacksonville Beach	FL	23,562
249	StAugustine	FL	14,329
250	PanamaCity	FL	36,877
251	FortPierce	FL	46,074
252	VeroBeach	FL	17,163
253	StuartTown	FL	16,279
254	KeyWest	FL	24,649
255	Marathon	FL	8,297
256	Naples	FL	22,088
257	BoneSprings	FL	51,025
258	Lehigh Acres	FL	124,523
259	CapeCoralCity	FL	189,343
260	PortCharlotte	FL	62,977
261	Bradenton	FL	57,346
262	Sarasota	FL	54,842
263	NorthPort	FL	70,755
264	Venice	FL	23,572
265	PortRichey	FL	12,685
266	SpringHillFl	FL	113,568
267	BrooksvilleTown	FL	8,389
268	TampaTown	FL	392,890
269	Clearwater	FL	115,975
270	StPete	FL	263,255
271	Largo	FL	84,754
272	Pinellas Park	FL	53,486
273	Dunedin	FL	36,068
274	Tarpon Springs	FL	25,117
275	Safety Harbor	FL	17,203
276	SanAntonio	TX	1,436,697
277	Austin	TX	964,254
278	FortWorth	TX	874,168
279	ElPaso	TX	678,815
280	Arlington	TX	398,121
281	CorpusChristi	TX	326,554
282	Plano	TX	288,061
283	Laredo	TX	257,156
284	Lubbock	TX	252,506
285	Garland	TX	238,622
286	Irving	TX	238,289
287	Amarillo	TX	199,371
288	GrandPrairie	TX	194,543
289	Brownsville	TX	183,887
290	Pasadena	TX	154,726
291	Killeen	TX	148,573
292	Mesquite	TX	144,788
293	McKinney	TX	199,177
294	McAllen	TX	142,212
295	Carrollton	TX	136,756
296	Waco	TX	139,236
297	Denton	TX	139,869
298	Midland	TX	142,344
299	Abilene	TX	123,420
300	Beaumont	TX	117,585
301	RoundRock	TX	119,468
302	Odessa	TX	118,918
303	Richardson	TX	116,783
304	Lewisville	TX	106,586
305	Tyler	TX	105,995
306	CollegeStation	TX	117,191
307	Pearland	TX	122,460
308	SanAngelo	TX	100,509
309	Allen	TX	104,627
310	League City	TX	106,391
311	Longview	TX	81,638
312	Sugarland	TX	118,488
313	Edinburg	TX	98,665
314	Mission	TX	84,331
315	Baytown	TX	79,730
316	Pharr	TX	79,112
317	TempleTexas	TX	78,439
318	Missouri City	TX	74,139
319	FlowerMound	TX	78,854
320	Harlingen	TX	71,829
321	NorthRichlandHills	TX	69,917
322	Mansfield	TX	72,254
323	Rowlett	TX	63,168
324	Euless	TX	60,311
325	DeSoto	TX	53,568
326	Grapevine	TX	54,151
327	Bedford	TX	49,054
328	Galveston	TX	50,180
329	CedarPark	TX	77,595
330	Georgetown	TX	75,420
331	PflugervilleTown	TX	65,191
332	NewBraunfels	TX	90,209
333	VictoriaTown	TX	67,106
334	SanMarcos	TX	67,553
335	Conroe	TX	89,956
336	Frisco	TX	200,509
337	TheWoodlands	TX	114,436
338	Katy	TX	21,894
339	RockwallCity	TX	45,888
340	Waxahachie	TX	39,875
341	Wylie	TX	51,251
342	BurlsonCity	TX	48,225
